Pathway	pVal	zScore	Genes	type
Breast or pancreatic cancer	17.3001622741328	1.489	SCN3A,NTSR1,ERBB4,RPS24,SMARCA4,HNRNPL,ENC1,DDX39A,LUZP2,TXNIP,FNBP1L,EPC1,GPM6B,PABPC1,SLC1A2,CD70,ENAH,SMAP2,CEP170,CALR,FOXG1,MAP3K1,SFPQ,OPCML,BAX,CD24,ERBB3,C3orf70,UQCRB,TAF1D,CCN1,SULF2,TSPAN7,PEA15,COL9A3,SPECC1,CELF4,PCDH17,RNF157,C7orf50,NASP,TXN,SET,PLAT,EGR1,CACNA1A,NRXN1,KLF3,BBLN,HSPA9,SHTN1,CELF2,PTPRE,SAMD4A,STAT3,CPM,NSG1,SPATA6,DOCK9,ASTN1,SEMA5A,RPS29,SLC44A1,PPP1R9A,RPLP0,ITM2C,COL11A1,CCND1,UBB,CSNK1A1,MT2A,RARRES2,CSMD3,PLPPR1,PTN,GRIA3,IGFBPL1,COL20A1,RBM5,MAFG,PNPLA8,USP24,DDX17,HMGA1,SOX6,AMD1,OPHN1,ADGRL3,ARL4C,PTPRD,SOX11,NAMPT,SEZ6L2,NARF,DCLK1,ETV1,PKM,CRNDE,IFNAR1,STARD7,PCF11,JUND,ST6GAL1,PID1,LAGE3,ACAP3,SGCB,PEG10,CPXM1,PGM1,ADGRB3,APOD,SOX5,NAV2,FABP7,TIMP2,KANK1,PRRX1,BRD7,CHL1,ETV5,VCAN,CTSC,TNK2,RBX1,NDRG2,HNRNPU,FNDC4,RBMX,MYADM,SNHG8,CDH10,MEX3A,IL1RAP,BMP7,UGDH,NRXN2,HDAC2,SRRM2,RPN2,UCHL1,IGFBP2,BCHE,AFAP1L2,CHST11,CLK1,LTBP3,KDM1A,MDGA2,CCDC47,OLA1,LAPTM4A,PSAT1,CASK,ITGAV,AASS,CLSTN1,PCDH9,STC1,TEK,ASCL1,SMAD3,ANP32B,ZFP36L1,RGCC,FOSB,RND3,PIK3R3,CALB2,GFRA1,RPL35,CPEB4,RPL22,ZEB1,APP,FAM107B,TUBB4B,MAFF,KHDRBS1,STMN2,MAGI1,LNX1,EIF3F,ABHD2,MMP16,MYO3A,IER2,AFDN,FHL1,SCRG1,PIK3R1,TMEM123,SCD5,BCAN,NLGN3,TRAF4,JMJD1C,JAG1,ETFB,RRBP1,ACAA1,AKT2,SON,SPARC,NPAS3,TIMP3,MCAM,TIMP1,KCNJ10,BAALC,HERPUD1,LRRN1,IRF1,DLX5,SATB1,SOX8,ADGRA1,SP8,FOS,TUBA1A,LUC7L3,EIF3E,FKBP2,LRP1,PCSK7,WDR1,HNRNPDL,FERMT2,KCNMA1,MYO10,PCDH7,CDKN2C,HSP90B1,ITGB8,DPYSL2,TAOK3,MIAT,SPOCK2,FAM110B,CD47,APPL1,HNRNPA1,COL16A1,CLU,BCLAF1,SSPN,BCL11A,VSTM2B,NLGN4X,LGALS1,EPHA3,ASRGL1,RHOC,POLR1D,CLIC1,CXXC4,RPL5,ID4,ARHGDIA,NTRK3,CDK6,TOX3,PLOD2,BCL11B,FBXO7,PTMS,PPP2R2A,FARP2,IGF2,PHLDA1,PRPF4B,SEPTIN9,DNM3,PSD3,FGFR1,SEL1L3,DMPK,NRCAM,ING3,TUBB3,SPRY2,EEF1A2,PRKACB,LRP1B,CRISPLD1,GPC6,DTNA,ASIC4,SBK1,CLVS2,CXCL16,ACTN4,CTSD,SOX2,MTDH,FGF12,TET1,COX4I1,PDGFRA,RPL11,PCDH19,MLLT11,COL9A1,PRKX,BLM,AKAP7,RBM39,RPL7,PRNP,RHOB,SOX9,PPP1R15A,CSPG4,PDIA3,SREK1,VCP,NEDD4L,MGLL,ASAP1,SEMA3E,TIMP4,ZC3H6,H2AX,ZFP36L2,KCNQ2,BEX2,KRT10,RTRAF,RPL31,RIN2,ITM2A,DYNC1I2,IRS2,TUBB,NKAIN4,DLX6-AS1,CPE,ANKS1B,CCNG1,PNN,NFIC,RPS19,PSMA7,NUCB1,KCND2,BRINP3,KLC1,PHACTR3,GRIA4,WSCD1,RPL19,SKIL,NTM,MYT1,TMEM256,PDLIM5,RTN1,H3-3A/H3-3B,NFIA,GAL3ST1,GRID2,EIF3H,GALNT10,GPC2,PLEKHH2,EVL,IDH2,AIG1,JUNB,CACNG4,JUN,ABHD14A,CALM1 (includes others),MCL1,STMN4,SERPINE2,CRMP1,NTNG1,CKB,RPS20,RPL6,TUBB2A,PCDH10,DSCAM,LIMA1,FZD3,NTRK2,RPL4,LAMA4,NT5E,MAP4K4,RACK1,KLF6,ANKRD36C,ROBO1,CHRM3,KAZN,B2M,RALYL,CREBRF,TM4SF1,WSB1,CNTN1,ADGRB1,CA10,SLITRK2,HES4,TM7SF2,NEFM,FNIP1,HNRNPA2B1,PAXX,TRA2A,KAT2B,CHD1,HTRA1,DNER,IGSF21,TAC3,MAP2,TNR,GLUD1,FAU,MAP1B,GDAP1L1,PCDH15,TRIM9,ASXL1,CCNL1,FIBIN,PTPRZ1,RPS6,GUCY1A2,RAB31,RAP1GAP,ASB3/GPR75-ASB3,S100B,CTTNBP2,TTC3,CREB5,SCN1A,NR3C1,TTC9B,STK32B,LRRK2,SOX4,P4HB,KDM5B,LINGO1,SLC32A1,PHGDH,YWHAQ,AKT3,TJP1,LRRTM3,TMEM132B,ZFYVE16,NLGN1,DLGAP4,PHF6,COX6B1,XRCC5,GRIA2,TRIO,CDKN1A,PSAP,CANX,CC2D1A,TMSB15A,BSCL2,MIF,NONO,FSCN1,DEGS1,KPNA2,JPT1,RPL21,FDFT1,ATP2B1,EEF1B2,STMN1,RPS3,CSDE1,CCDC50,PBX1,EGR3,COPA,HSPA5,SYNE1,PEX10,SLC2A13,SCN2A,GAD2,EGR2,DAB2,TRA2B,KDM6B,NFE2L2	Functional
Morphogenesis of nervous tissue	48.1140736601986	1.484	DCLK1,DLX5,ERBB4,METRN,NCAM2,CNP,PODXL2,ENC1,PAK3,FOS,TUBA1A,LRP1,LRPAP1,ACAP3,SKIL,NTM,LRRC4C,MYO10,ADGRB3,FNBP1L,PDLIM5,TNFRSF21,AHI1,DPYSL2,NFIA,NEU4,KANK1,FOXG1,CD47,CHL1,CLU,GRID2,BAX,GPC2,HES1,BCL11A,ATCAY,TNK2,JUN,CCN1,TMEM106B,RAB33A,SYT1,SULF2,LGALS1,EPHA3,SERPINE2,CRMP1,RAB6A,THY1,NTNG1,CKB,DLX2,DSCAM,SEPTIN11,CDH10,BTG3,IL1RAP,NTRK3,SLC1A3,FZD3,NTRK2,RAB10,GRM5,RPL4,ELMO1,RNF157,BMP7,COBL,NRXN2,HDAC2,MAP4K4,MFF,MBP,UCHL1,BCL11B,ROBO1,FBXO7,PLAT,EGR1,B2M,CACNA1A,NRXN1,SEPTIN2,FARP2,RPS14,P2RX7,RAB3A,SHTN1,KDM1A,CNTN1,ADGRB1,SH3GLB1,SLITRK2,PTPRE,NEFM,TMEM59,ATP6AP2,PFN2,DNM3,KAT2B,FGFR1,NRCAM,CASK,SVBP,CLSTN1,BASP1,ELAVL4,RBFOX2,DNER,MAP2,TNR,STAT3,MTSS1,ASCL1,NSG1,MAP1B,TRIM9,PTPRZ1,RPS6,TET1,PDGFRA,GFRA1,DBN1,CPEB4,APP,PPP1R9A,EMC10,S100B,EIF4G2,PLPPR5,ANK3,PRNP,ITM2C,SCN1A,STMN2,NR3C1,RHOB,UBB,DCX,CSPG4,PDIA3,LNX1,LRRK2,NEDD4L,SNX3,LINGO1,ASAP1,PHGDH,MT2A,SEMA3E,AFDN,GPM6A,CSMD3,PTN,SNX1,NLGN1,TRIO,CDKN1A,NLGN3,UGT8,CC2D1A,DENND5A,OPHN1,DDAH1,MT3,STMN1,ARC,DYNLT1,EGR3,HSPA5,PLP1,SYNE1,DPYSL3,VAPA,DAB2,DRAXIN,NFE2L2	Functional
GNAQ Signaling	4.44977164694491	1.482	ATP2A2,CCN1,CCND1,CCNG1,CD47,CSPG4,EGR1,FOS,GRB14,MAFF,MMP16,NDRG2,NFIA,PHLDA1,PLAT,RHOB,STMN2,ZFP36L1	Upstream
carbon tetrachloride Signaling	2.77211329538633	1.482	BAX,CDKN1A,DCLK1,FOS,GLUD1,JUN,JUNB,JUND,MGLL,NDRG2,PDGFRA,PPP1R15A,PRNP,QDPR,RBP1,SKIL,SMAD3,TIMP1,TIMP2,TIMP3	Upstream
CDH2 Signaling	4.31695296176115	1.481	AKT3,BAX,CCND1,CDKN1A,JUN,THY1,ZEB1	Upstream
SRC Signaling	1.59687947882418	1.479	CCND1,CDKN1A,FOS,JUN,LAMP1,MCL1,PLAT,STAT3,TJP1,ZEB1	Upstream
HEIH Signaling	2.31158017799729	1.478	FGFR1,FOS,JUN,NTRK2,STMN1	Upstream
isobutylmethylxanthine Signaling	3.57511836336893	1.474	ACSL3,ATP5MC2,BSCL2,CCND1,CDKN1A,COX4I1,EGR1,EGR2,ENC1,FAM89B,FOS,JUN,JUNB,PDGFRA,PLAT,RAB14,TIMP1,TIMP2,TIMP3,TUBB	Upstream
FOXO1 Signaling	2.75202673363819	1.472	ATF4,BAX,CCND1,CD70,CDKN1A,CDKN1C,CDKN2C,CERS4,DCX,EGR1,EGR2,FOS,FOSB,GPR17,HSPA5,IRS2,ITGAV,JAG1,JUN,JUNB,NAMPT,PPP1R15A,SOX10,SOX2,SOX4,SOX5,SOX9,SPRY2,TXNIP,ZEB1	Upstream
C1QA Signaling	1.50584540598156	1.467	B2M,EGR1,MAP2,STAT3,TIMP1	Upstream
BRCA1 Signaling	4.08460016478773	1.465	BAX,CCND1,CCNG1,CDKN1A,CTSD,EGR1,H2AX,H3-3A/H3-3B,IFNAR1,NFE2L2,NR3C1,PHLDA1,ROBO1,SAT1,SERPINE2,SFPQ,SMAD3,STC1,VCAN	Upstream
NORAD Signaling	3.67985371388895	1.463	BASP1,CCN1,CHST11,HSPA5,JUN,JUNB,RHOB,SSBP3	Upstream
Brain lesion	11.4400933749639	1.463	SCN3A,NTSR1,ERBB4,RPS24,SAR1B,SMARCA4,RPS5,ENC1,PAK3,ARGLU1,DDX39A,LUZP2,ST8SIA2,DIO3,EPC1,PABPC1,CD70,CALR,FOXG1,DPP7,SLF2,MAP3K1,OPCML,BAX,ERBB3,C3orf70,TAF1D,ARFGAP2,DNAJC1,COL9A3,GPSM2,SLC18B1,ARMCX3,PHPT1,SPECC1,CELF4,PCDH17,RNF157,C7orf50,OLFM1,CDH13,PLAT,EGR1,CACNA1A,NRXN1,RAB3A,HSPA9,CHDH,CELF2,PTPRE,TMEM59,SAMD4A,RPL23,REEP3,SLC35F1,SPRED1,STAT3,CPM,NSG1,EEA1,SYT11,SPATA6,DOCK9,ASTN1,SEMA5A,RPS7,PPP1R9A,DGCR2,EIF4G2,KIF13A,DNAJC3,COL11A1,CCND1,RPL36,TMEM59L,SP9,NAV1,SPCS3,MT2A,RARRES2,CSMD3,NREP,GRIA3,COL20A1,RPL37,USP24,EHD4,TANC1,SDC3,FAM3C,DDX17,FCHSD2,SOX6,SRSF7,RBM3,PPIB,OPHN1,PTCHD4,ADGRL3,ARC,SOX11,NAMPT,NARF,DCLK1,ETV1,PKM,NCAM2,PODXL2,PID1,RPL29,ACAP3,NAP1L1,SGCB,PEG10,CPXM1,ADGRB3,OLIG2,NAV2,TIMP2,VWA1,KANK1,CHL1,ETV5,ARPP21,VCAN,TNK2,COL9A2,NDRG2,PLS3,RBMX,CD82,LDLRAD4,INA,TEAD2,SDF4,CDH10,MEX3A,BMP7,NRXN2,HDAC2,SRRM2,RPN2,UCHL1,BRD3,RAB5A,IGFBP2,BCHE,PDZD2,LTBP3,KDM1A,TSC22D1,MDGA2,SH3GLB1,PPM1K,CCDC47,LAPTM4A,NACA,RPL13A,CASK,ITGAV,AASS,GNG7,CLSTN1,CHADL,PCDH9,STC1,TEK,XKR4,ANP32B,ZFP36L1,CDKN1C,RGCC,KCNIP1,AGAP1,RND3,SRSF6,CALB2,GFRA1,ZEB1,APP,FAM107B,TUBB4B,MAFF,STMN2,MAGI1,EIF3F,ABHD2,MMP16,MYO3A,AFDN,FHL1,SCRG1,PIK3R1,C1orf21,XYLT1,SCD5,NLGN3,PGM3,TRAF4,JMJD1C,JAG1,RRBP1,ACAA1,AKT2,SON,SHC3,CCNH,NPAS3,MCAM,VAPA,TSPYL1,TIMP1,KCNJ10,LRRN1,IRF1,DLX5,SOX8,MAP4K5,ADGRA1,SCGN,FOS,TUBA1A,LUC7L3,LRP1,PCSK7,WDR1,HNRNPDL,FERMT2,CLCN3,MYO10,PCDH7,CDKN2C,HSP90B1,ITGB8,KLHDC8A,TAOK3,CSPG5,APPL1,HNRNPA1,COL16A1,BCLAF1,SSPN,BCL11A,EPN2,TMEM106B,NLGN4X,LGALS1,EPHA3,ASRGL1,GPR155,RBBP7,POLR1D,BCAS1,KHDRBS3,CXXC4,LRATD1,DLX2,RBM25,RPL5,ARHGDIA,NTRK3,CDK6,SLC6A1,GRM5,TOX3,ZNF649,PLOD2,MFF,BCL11B,FBXO7,PPP2R2A,FARP2,IGF2,PHLDA1,RCOR2,OS9,PRPF4B,DNM3,ITM2B,PLPP3,PSD3,FGFR1,SEL1L3,DMPK,NRCAM,ATF7IP,ING3,TUBB3,ZNF397,CD320,LRP1B,CRISPLD1,GPC6,DTNA,SBK1,CXCL16,ACTN4,CNN3,CTSD,APMAP,SOX2,MTDH,B3GAT2,RASSF2,CCNI,TET1,PDGFRA,PCDH19,MLLT11,COL9A1,BLM,RBM39,PRNP,SOX9,PPP1R15A,CSPG4,PDIA3,DUSP6,SREK1,VCP,TCEAL2,DPP10,NEDD4L,MGLL,GRB14,ASAP1,SEMA3E,TMEM87A,SF1,ZC3H6,CLPTM1,ZFP36L2,RPL12,KCNQ2,BEX2,SNX1,KRT10,ARF5,RTRAF,GOLM1,RPL31,OLFM2,DLX1,DENND5A,RPL18A,PON2,RIN2,PRTFDC1,DYNC1I2,IRS2,TUBB,SERTAD1,ANXA5,SSBP3,RAMP2,GPR37L1,DDAH1,SHISA4,CPE,SYMPK,ANKS1B,DSEL,LINC00632,PDIA6,MRPL42,KIF21A,PNN,CNP,NFIC,ARL4D,RBIS,NUCB1,KLC1,KIFC3,RPS11,VMP1,GRIA4,WSCD1,RPL19,NTM,LRRC4C,MYT1,PDLIM5,AHI1,H3-3A/H3-3B,NFIA,CLDND1,GAL3ST1,GRID2,GALNT10,GPC2,PLEKHH2,EVL,IDH2,AIG1,ST3GAL6,ABHD14A,MCL1,CRMP1,NTNG1,CKB,TUBB2A,PCDH10,DSCAM,PDLIM2,BTG3,SLC1A3,FZD3,TRIB2,NTRK2,ELMO1,LAMA4,NT5E,COBL,MAP4K4,KLF6,ROBO1,CHRM3,KAZN,RALYL,CREBRF,HADHB,P2RX7,CHID1,CNTN1,ADGRB1,PLPPR3,SLITRK2,PDZRN3,FAIM2,RPL34,TIAL1,FNIP1,HNRNPA2B1,OLIG1,FIP1L1,KAT2B,NME3,DCXR,PLD3,CHD1,HTRA1,DNER,IGSF21,MAP2,TNR,GLUD1,MTSS1,MAP1B,GDAP1L1,PCDH15,TRIM9,ASXL1,CCNL1,FIBIN,PTPRZ1,DNAJB1,CDC42SE1,LHFPL3,RAP1GAP,ASB3/GPR75-ASB3,ATP2A2,CTTNBP2,ANK3,GPAA1,SOX10,TTC3,CREB5,SCN1A,ANKRD28,NR3C1,MPZL1,ABHD12,STK32B,LRRK2,SOX4,KDM5B,SNX3,LINGO1,SLC32A1,AFF4,PHGDH,YWHAQ,AKT3,TJP1,LRRTM3,ZFYVE16,SNRNP70,CDK2AP1,HYI,NLGN1,DLGAP4,XRCC5,TRIO,PSAP,CANX,CC2D1A,GPR17,NONO,GADD45G,SCG3,KPNA2,JPT1,RPL21,HIP1R,ATP2B1,SIRT2,RPS3,CSDE1,CCDC50,DYNLT1,EGR3,COPA,SYNE1,PEX10,SLC2A13,SCN2A,GAD2,SLC22A17,FGF14,DAB2,TRA2B,KDM6B,NFE2L2	Functional
Maturation of neurons	6.83564714421556	1.463	DCLK1,KCNMA1,HDAC2,ADGRB3,ERBB4,CLSTN1,PPP1R9A,CNP,NFIA,NRXN1,GPR37L1,IGSF21,RAB3A,DTNA,ASCL1,CDKN1C,SEZ6L2,BCAN,BAX,LRRK2	Functional
Differentiation of oligodendrocytes	15.7033348097385	1.462	LINGO1,SOX8,SMARCA4,CNP,CD82,DLX2,PTN,ID4,ASCL1,NLGN3,WDR1,NTRK2,UGT8,DLX1,SOX2,GPR17,NKX2-2,PTPRZ1,SOX6,HDAC2,OLIG2,PDGFRA,SOX5,TNFRSF21,SIRT2,KHDRBS1,SOX10,CNTN1,VCAN,SOX9,TIMP1,ERBB3,HES1,OLIG1	Functional
STAT6 Signaling	1.35163998901907	1.461	BAX,CDKN1A,CNRIP1,DDAH1,EGR1,EGR2,FSCN1,GADD45G,GATM,GPM6B,IER2,IL6ST,INPP1,IRF1,IRS2,JAG1,KDM6B,PRNP,SAMD4A,SAPCD2,SERPINB6,ST6GAL1,THY1,TIMP1,TIMP3,TP53I11	Upstream
Formation of dendrites	10.0510982390298	1.459	DCLK1,ASAP1,TMEM106B,CASK,AFDN,ELAVL4,RBFOX2,DNER,CKB,CSMD3,PAK3,PTN,MAP2,TNR,DSCAM,NLGN1,MAP1B,NLGN3,NTRK2,CC2D1A,ELMO1,BMP7,COBL,PTPRZ1,HDAC2,TET1,ADGRB3,PDLIM5,DBN1,ROBO1,APP,PPP1R9A,EGR1,NFIA,CACNA1A,EIF4G2,PLPPR5,ARC,DYNLT1,SH3GLB1,NR3C1,SYNE1,DCX,BCL11A,LRRK2,DNM3	Functional
Cell proliferation of breast cancer cell lines	8.61798295742513	1.457	IRF1,PSAT1,FGFR1,ERBB4,DIO3OS,PKM,IFNAR1,TEK,FOS,STAT3,EIF3E,ACTN4,CTSD,SOX2,MTDH,FERMT2,PIK3R3,PDGFRA,ZEB1,MIAT,ENAH,EIF4G2,TIMP2,CALR,CLU,NR3C1,CCND1,SOX9,EIF3H,PDIA3,ZFAS1,DUSP6,ERBB3,HES1,PGRMC1,RBX1,IDH2,JUN,PHGDH,YWHAQ,CCN1,MCL1,LGALS1,HNRNPU,ASAH1,PIK3R1,H2AX,BEX2,PDLIM2,SNHG8,CALCRL,LIMA1,TRIO,CDKN1A,TRAF4,SNHG29,NONO,BMP7,DEGS1,DDX17,HMGA1,HDAC2,IRS2,KPNA2,PPP1R12A,RACK1,TXN,IGFBP2,SAT1,EEF1B2,AKT2,IGF2,WSB1,CSDE1,KDM1A,HSPA5,PTPRE,PRPF4B,DPYSL3,SEPTIN9,DAB2,BAALC	Functional
IGF2BP1 Signaling	2.98296666070122	1.455	BCL11A,CDKN1A,IGF2,LGALS1,MIF,SOX9,TIMP3	Upstream
AURKB Signaling	2.93554201077308	1.455	BAX,BLM,CD70,CD82,CDKN1A	Upstream
GLI3 Signaling	2.44249279809434	1.455	CCND1,DLX2,EGR1,FOSB,H2AX,IRF1,JUNB,SMAD3,SOX9,SPRY2,STMN1	Upstream
Tgf beta Signaling	5.35066514128786	1.453	ASCL1,BAMBI,BASP1,BSCL2,CCN1,CCND1,CDK6,CDKN1A,CHID1,CHST11,CLU,DAB2,DLX2,EGR2,FOS,FSCN1,GRID2,HES1,HES6,ID4,ITGAV,JAG1,JUN,JUNB,KDM6B,MIF,NPAS3,OLIG1,OLIG2,PLAT,PLPP3,RHOB,SKIL,SMAD3,SOX4,SPARC,SSBP3,TIMP1,TIMP2,TIMP3	Upstream
Proliferation of blood cells	8.28149831113273	1.449	IRF1,SATB1,FTL,SMARCA4,HNRNPL,SBDS,IFNAR1,FOS,RPS19,JUND,ST6GAL1,SKIL,ELOB,TXNIP,CDKN2C,HSP90B1,SOX5,TNFRSF21,CD70,CALR,CD47,APPL1,CLU,MAP3K1,BCLAF1,BAX,CD24,HES1,BCL11A,JUNB,JUN,TMEM106B,MYDGF,LGALS1,THY1,SLC3A2,PEA15,ARHGDIA,CDK6,SLC6A1,GRM5,NT5E,MBP,TXN,IGFBP2,DBI,EGR1,B2M,KLF3,IGF2,P2RX7,HSPA9,TSC22D1,RAMP1,HNRNPA2B1,BTG1,FGFR1,ITGAV,CD320,SPRY2,HTRA1,SPRED1,STAT3,SMAD3,ZFP36L1,CDKN1C,CXCL16,CTSD,SOX2,CD81,TLE5,S100B,BLM,PRNP,NR3C1,CCND1,CSNK1A1,SELENOK,PIK3R1,PTN,GNG3,XRCC5,CDKN1A,MAFG,EHD4,MIF,ITM2A,JMJD1C,HMGA1,SOX6,IRS2,JAG1,IL6ST,RPS3,PBX1,EGR3,SOX11,HSPA5,PLP1,TIMP3,GAD2,EGR2,DAB2,KDM6B,NFE2L2	Functional
SORL1 Signaling	3.43062609038495	1.448	APP,B2M,COL11A1,EEA1,FOS,ITGAV,KCNJ10,KLRC2,LAMA4,LAMP1,NTSR1,OMG,PDGFRA,RAB5A,RARRES2,SEMA3E,TAC3	Upstream
deferoxamine Signaling	1.33441900898205	1.448	APP,CCND1,CD47,CDKN1A,FOS,HSPA13,IGFBP2,JUN,PKM,PLAT,SERPINE2,SPRY4,SULF2,TSC22D1	Upstream
EIF2AK2 Signaling	3.34008379993015	1.447	AKT2,ATF4,BAX,CCND1,CDKN1A,EGR1,FOS,IRF1,IRS2,JUN,PPP1R15A,TUBA1A	Upstream
Proliferation of lymphocytes	6.28483264215154	1.442	IRF1,SATB1,FTL,CD320,SPRY2,SMARCA4,HNRNPL,IFNAR1,SPRED1,FOS,STAT3,JUND,SMAD3,ZFP36L1,ST6GAL1,CTSD,SOX2,SKIL,CD81,ELOB,TXNIP,CDKN2C,HSP90B1,SOX5,TNFRSF21,S100B,CD70,CALR,BLM,CD47,APPL1,PRNP,MAP3K1,CCND1,BCLAF1,BAX,CD24,HES1,BCL11A,JUNB,JUN,CSNK1A1,MYDGF,LGALS1,SELENOK,PIK3R1,THY1,SLC3A2,PEA15,GNG3,XRCC5,ARHGDIA,CDKN1A,EHD4,CDK6,SLC6A1,GRM5,NT5E,MIF,ITM2A,HMGA1,IRS2,MBP,JAG1,TXN,IGFBP2,DBI,EGR1,B2M,KLF3,IL6ST,IGF2,P2RX7,RPS3,PBX1,EGR3,SOX11,HSPA5,PLP1,GAD2,EGR2,RAMP1,HNRNPA2B1,KDM6B,NFE2L2	Functional
medroxyprogesterone acetate Signaling	9.18243463044022	1.435	ACTN4,AKT3,ASAH1,BAX,CCN1,CCND1,CDK6,CDKN1A,CDKN1C,CKB,CLSTN1,COL11A1,CXXC4,DDOST,ENAH,ENC1,ERBB3,FGFR1,GNG12,HDAC2,HES6,HSP90B1,HTRA1,ID4,IGF2,IL6ST,ITGAV,ITGB8,JUN,JUNB,OAT,OMG,PDGFRA,PIK3R1,PRKX,RARRES2,ROBO1,RPN2,SAT1,SMAD3,SPRED1,SPRY2,SPRY4,ST6GAL1,STAT3,TIMP3,TMSB10/TMSB4X,TRAF4,VCAN	Upstream
FOXF1 Signaling	1.87289520163519	1.432	CCND1,CDK6,CDKN1A,PDGFRA,TEK	Upstream
GH1 Signaling	2.16557929631847	1.425	ATF4,CLU,DBI,EGR1,ERBB3,FOS,JUN,JUNB,RPL6,SATB1,SMARCA4	Upstream
D-glucose Signaling	9.84163750790475	1.424	ACAA1,APP,ATF4,ATP2A2,ATP2B1,ATP5MC2,ATP6AP2,BAX,CALR,CANX,CCND1,CDKN1A,CLU,CTSC,CTSD,DBI,DNAJC3,DTNA,EGR1,EMC10,FKBP2,FOS,GRIA2,HDAC2,HERPUD1,HNRNPF,HSPA5,IER2,IGF2,IL6ST,IRS2,JAG1,JUN,JUNB,KAT2B,KDELR2,LGALS1,LRP1,MCAM,MCL1,MIF,NAMPT,NFE2L2,NKX2-2,NR3C1,NRXN1,OAT,PDGFRA,PDIA3,PDIA6,PGM1,PKM,PON2,PPIB,PPP2R2A,RPS14,SIRT2,SLC1A3,SLC3A2,SOX9,SRSF1,SRSF2,SUSD5,TIMP1,TJP1,TUBB3,TXNIP,VCAN,ZFAS1	Upstream
TCF Signaling	4.39469495385889	1.423	APOD,ARL4A,CCND1,CCT8,DDX17,EGR1,FOS,HTRA1,JUNB,NRCAM,PLS3,SOX9,TSC22D1	Upstream
diethylstilbestrol Signaling	3.47755576649368	1.42	BCHE,CCND1,CDH13,CDKN1A,CLU,CPE,CPXM1,DCLK1,DPYSL2,DUSP6,EGR1,FOS,HSP90B1,IGFBP2,LGALS1,LRRK2,NDRG2,NPDC1,NR3C1,NTRK2,PDGFRA,RIN2,RPN2,SHISA4,SPARC	Upstream
Differentiation of tumor cell lines	17.0700704399154	1.42	IRF1,KAT2B,FGFR1,NTSR1,ERBB4,CHD1,SPRY2,SMARCA4,FOS,STAT3,ASCL1,NAP1L1,ST8SIA2,SOX2,RND3,OLIG2,PABPC1,APP,ATP2A2,FABP7,MAGEH1,PRKX,CALR,SOX10,FOXG1,ETV5,STMN2,CCND1,VCAN,SFPQ,HES1,JUN,NDRG2,CCN1,MCL1,INSM1,LGALS1,PIK3R1,THY1,SPRY4,BEX2,ARHGDIA,TRIO,CDKN1A,NTRK2,RPS3A,CDK6,MIF,GADD45G,BMP7,SOX6,AMD1,KLF6,JAG1,PLAT,EGR1,SIRT2,AKT2,SPARC,IL6ST,IGF2,SHC3,GSE1,KDM1A,ATF4,SOX11,TIMP1,DAB2,HNRNPA2B1,NACA,NFE2L2	Functional
CSF3 Signaling	2.62342304294349	1.418	ARHGDIA,BAX,CDK6,CTSD,DNM3,DUSP6,EGR1,EGR2,EGR3,FOS,GADD45G,GNG7,GRM5,JUN,KLRC2,MCL1,NTRK2,STAT3	Upstream
CREM Signaling	2.09366495819491	1.418	ARC,ATP2A2,CCND1,EGR1,EGR2,FOS,INA,IRS2,JUNB,MCL1,PPP1R15A,RHOB,SERTAD1	Upstream
Factors involved in megakaryocyte development and platelet production	1.51	1.4142135623731	DOCK9,HDAC2,IRF1,KDM1A,MAFF,MAFG,PRKACB,RAB5A	Canonical
RANK Signaling in Osteoclasts	1.51	1.4142135623731	AKT2,AKT3,CALM1 (includes others),FOS,JUN,MAP3K1,PIK3R1,PIK3R3	Canonical
JAK/STAT Signaling	1.75	1.4142135623731	AKT2,AKT3,CDKN1A,FOS,JUN,PIK3R1,PIK3R3,STAT3	Canonical
EGF Signaling	2.75	1.4142135623731	AKT2,AKT3,FOS,JUN,MAP3K1,PIK3R1,PIK3R3,STAT3	Canonical
GRIN1 Signaling	2.52724355068279	1.414	EGR3,EPHA3,MMP16,RPS7,SOX11,SPARC,STK32B,TP53I11	Upstream
MXD1 Signaling	1.92081875395238	1.414	CCNG1,COX7A2L,ETFB,IDH2,RPL30,RPS13,RPS2,TNFRSF21	Upstream
NGEF Signaling	1.80410034759077	1.414	ANK3,BCL11B,FZD3,GRM5,NRXN1,NTM,SOX9,TSPAN7	Upstream
Invasion of breast cancer cell lines	7.21896306137887	1.413	RBFOX2,STAT3,EIF3E,NUCB1,SMAD3,LRP1,ACTN4,MTDH,FNBP1L,ZEB1,APP,DPYSL2,ENAH,MAFF,CALR,CCND1,SOX9,EIF3H,ZFAS1,DUSP6,ERBB3,BCL11A,SOX4,JUN,ASAP1,PHGDH,CCN1,AFDN,TJP1,RHOC,TIMP4,PIK3R1,CD82,PDLIM2,SNHG8,LIMA1,TRIO,CDKN1A,SNHG29,FSCN1,UGDH,HMGA1,IRS2,KPNA2,KLF6,RAB5A,AKT2,SPARC,STMN1,HSPA9,KDM1A,CCNH,NAMPT,ACSL3,SEPTIN9,MCAM,TIMP1,KDM6B,BAALC	Functional
Apoptosis of sensory neurons	6.19654288435159	1.411	BCL11B,DIO3,APP,AKT2,P2RX7,FOS,DLX2,PRNP,CCND1,HSPA5,LRP1,LRPAP1,DLX1	Functional
